Name,Speed,Acceleration,Weight,Handling
standardkart,50,55,45,50
rallykart,55,50,50,45
plushbuggy,50,55,45,50
babyblooper,45,60,40,55
chargintruck,65,35,60,40
zoombuggy,55,50,50,45
blastronautiii,50,60,50,40
reelracer,65,40,50,45
carpetflyer,55,50,50,45
billdozer,60,40,60,40
bighorn,60,40,60,40
hotrod,55,50,50,45
stellarsled,70,30,60,40
ribbitrevster,55,50,50,45
mechatrike,65,35,60,40
lildumpy,65,35,60,40
hyperpipe,35,70,60,60
pipeframe,35,70,65,55
biddybuggy,40,65,65,55
bdasher,55,50,50,45
tinytitan,65,35,60,40
bumblev,55,50,50,45
cloud9,55,50,50,45
lobsterroller,65,40,65,55
roadsterroyale,55,50,50,45
bowserbruiser,65,35,60,40
w-twinchopper,60,45,45,50
funkydorrie,55,55,55,35
machrocket,40,65,35,60
fintwin,35,70,35,60
standardbike,30,75,35,60
rallybike,35,70,35,60
