Character,Kart,Speed,Acceleration,Weight,Handling,Score
Baby Luigi,Funkydorrie,41,74,36,49,110.0
Dry Bones,Funkydorrie,41,74,36,49,110.0
Baby Peach,Funkydorrie,40,75,35,50,110.0
Baby Peach,Blastronautiii,35,80,30,55,110.0
Baby Peach,W Twinchopper,45,65,25,65,110.0
Baby Daisy,W Twinchopper,45,65,25,65,110.0
Baby Mario,Funkydorrie,41,74,36,49,110.0
Goomba,Funkydorrie,41,74,36,49,110.0
Baby Rosalina,Funkydorrie,41,74,36,49,110.0
Baby Daisy,Funkydorrie,40,75,35,50,110.0
Baby Daisy,Blastronautiii,35,80,30,55,110.0
Baby Mario,W Twinchopper,46,63,27,64,109.2
Baby Rosalina,Blastronautiii,36,78,32,54,109.2
Baby Mario,Blastronautiii,36,78,32,54,109.2
Baby Rosalina,W Twinchopper,46,63,27,64,109.2
Goomba,W Twinchopper,46,63,27,64,109.2
Baby Luigi,W Twinchopper,46,63,27,64,109.2
Dry Bones,W Twinchopper,46,63,27,64,109.2
Baby Luigi,Blastronautiii,36,78,32,54,109.2
Goomba,Blastronautiii,36,78,32,54,109.2
